gc_del_auc,gc_ins_auc,sm_del_auc,sm_ins_auc,lm_del_auc,lm_ins_auc,sanity_corr,entropy,margin,brier,true_label,pred_label
0.2131752,0.8103191,0.77472204,0.9426698,0.8624475,0.94541717,,0.0011749021,0.99984705,3.7778563e-09,0,0
0.22665104,0.9798827,0.13826981,0.89338434,0.5978647,0.88984376,,0.00018346781,0.9999757,8.065202e-11,2,2
0.19829823,0.75899136,0.2978688,0.668028,0.6248926,0.61550975,,1.1813503e-06,0.99999994,7.504605e-16,2,2
0.2839035,0.9479344,0.070617735,0.79369223,0.37203094,0.9111227,,1.3868224e-05,0.9999985,2.887566e-13,2,2
0.8147346,0.81175387,0.8147346,0.81175387,0.95029104,0.965773,,7.799345e-08,1.0,3.5512783e-18,0,0
0.92520213,0.9280166,0.85122335,0.9878471,0.82682765,0.88834786,,4.482068e-06,0.9999995,2.8223832e-14,0,0
0.62793124,0.7333486,0.62793124,0.7333486,0.50345373,0.9705514,,5.6770335e-09,1.0,1.3032553e-20,2,2
0.15975374,0.40952042,0.8195679,0.9878355,0.6891462,0.23438257,,0.0002226099,0.99997014,1.1770122e-10,0,0
0.19141921,0.9157905,0.066328645,0.8103571,0.33034086,0.57142085,,0.0066021183,0.99871296,2.2175706e-07,2,2
0.27950424,0.9863666,0.13540132,0.73617697,0.16150443,0.83734024,,0.0011958483,0.9998065,4.8663376e-09,1,1
0.83524644,0.7820331,0.83524644,0.7820331,0.83524644,0.7820331,,3.990135e-09,1.0,9.531843e-21,2,2
0.8839289,0.8177898,0.8839289,0.8177898,0.8839289,0.8177898,,9.414646e-10,1.0,2.6352973e-22,2,2
0.11590668,0.7580607,0.16570292,0.7274351,0.4607333,0.5821999,,8.065131e-05,0.99998766,1.9022672e-11,2,2
0.2942447,0.98902977,0.20111492,0.6755737,0.5927187,0.6967285,,0.0067829126,0.9986483,2.3923567e-07,1,1
0.16610684,0.84418243,0.19414565,0.64468557,0.53311694,0.5266527,,0.0004435935,0.99992037,0.4999801,0,2
0.4497649,0.9876061,0.8228967,0.9876772,0.71559954,0.8645743,,2.6753356e-05,0.9999973,1.1748943e-12,0,0
0.10667733,0.9762866,0.046991356,0.69324905,0.38393435,0.72488356,,4.3061827e-05,0.999994,4.5144444e-12,3,3
0.77705646,0.50026447,0.8393042,0.9874092,0.93380237,0.32176095,,0.0018565782,0.9997196,1.1416125e-08,0,0
0.7109343,0.7996199,0.7109343,0.7996199,0.5952554,0.9788181,,2.0429026e-08,1.0,2.9779973e-19,2,2
0.29425657,0.5788302,0.047961373,0.65830374,0.69151425,0.3840189,,9.61139e-05,0.9999864,2.3262337e-11,3,3
0.26972735,0.9841472,0.16476221,0.7998692,0.9209762,0.7017803,,0.00027570836,0.99996006,2.0533804e-10,1,1
0.19931792,0.986426,0.814247,0.98783195,0.96531487,0.60781395,,6.755691e-06,0.9999992,8.4230345e-14,0,0
0.050873216,0.8155307,0.051949777,0.492381,0.4895507,0.4108846,,0.0039015836,0.99937236,5.6398406e-08,3,3
0.5123625,0.43621492,0.21912782,0.68319535,0.47808218,0.5461188,,0.001814193,0.9996223,1.7835326e-08,2,2
0.054861736,0.98911476,0.15592557,0.7763406,0.91052204,0.11216133,,6.192107e-06,0.9999994,5.1447175e-14,1,1
