gc_del_auc,gc_ins_auc,sm_del_auc,sm_ins_auc,lm_del_auc,lm_ins_auc,sanity_corr,entropy,margin,brier,true_label,pred_label
0.497387,0.7889859,0.497387,0.7889859,0.98008466,0.9727308,,4.600987e-09,1.0,1.4862182e-20,0,0
0.7393334,0.99515796,0.44296438,0.8144672,0.93985546,0.91278905,,0.00025284628,0.9999719,1.2916773e-10,1,1
0.31620446,0.99055225,0.2645439,0.4189159,0.4883492,0.83338076,,0.0058687967,0.9987029,2.1118667e-07,1,1
0.8313733,0.9737494,0.69928384,0.90926623,0.5522856,0.73161554,,0.00013051201,0.99997944,5.2768595e-11,2,2
0.9502665,0.58220506,0.9502665,0.58220506,0.65459883,0.94972134,,7.924684e-07,0.99999994,3.8059806e-16,2,2
0.810587,0.85161877,0.8169416,0.98081315,0.74794364,0.9337623,,4.036208e-05,0.9999941,4.3736126e-12,2,2
0.37842345,0.30267018,0.3406164,0.089457676,0.49658483,0.54298186,,0.7485348,0.1806125,0.3729956,0,1
0.44169438,0.4536519,0.40422693,0.1775152,0.6971737,0.6973119,,0.43493575,0.75268835,0.38402948,3,1
0.45423234,0.9681669,0.4464234,0.90508646,0.8346926,0.7857996,,5.7993253e-05,0.99999243,7.403178e-12,1,1
0.50224465,0.98057663,0.45440432,0.9808914,0.8593249,0.8978569,,2.2638299e-06,0.99999976,6.7267316e-15,0,0
0.1967032,0.97452825,0.39888293,0.7224467,0.3447776,0.87860143,,0.00013716532,0.9999799,5.0997085e-11,1,1
0.23192853,0.8425363,0.5316638,0.97256935,0.4269583,0.47412455,,0.051627927,0.98191524,0.49551725,0,2
0.3478047,0.99347955,0.39634138,0.9702675,0.8963152,0.30882555,,0.007497111,0.9986649,2.6796184e-07,1,1
0.95571035,0.60546255,0.95571035,0.60546255,0.79257303,0.94525707,,1.844362e-08,1.0,2.465351e-19,2,2
0.25231826,0.6033826,0.08350467,0.750957,0.5714401,0.752939,,0.00015660525,0.9999818,4.8732098e-11,3,3
0.9491752,0.76378655,0.9491752,0.76378655,0.9764661,0.5542572,,2.4675868e-08,1.0,2.5552741e-19,2,2
0.6301625,0.9741748,0.17993265,0.9798742,0.7139014,0.6962048,,5.662262e-06,0.99999946,4.6150865e-14,2,2
0.12887381,0.6976018,0.4289073,0.66393507,0.760388,0.5378535,,0.015161791,0.9971322,1.2992455e-06,1,1
0.7759111,0.9375117,0.7759111,0.9375117,0.778501,0.97668374,,2.8793548e-10,1.0,6.107781e-23,2,2
0.452421,0.99473596,0.35575813,0.87874585,0.2412651,0.72679573,,1.1636286e-05,0.9999988,1.9999933e-13,1,1
0.6292723,0.7453336,0.23559766,0.8672714,0.75724614,0.6790715,,6.8178365e-06,0.99999946,4.7432524e-14,3,3
0.6314103,0.44198662,0.11687689,0.75452256,0.53410584,0.6729447,,0.000490693,0.9999151,9.0125973e-10,3,3
0.15374078,0.78844154,0.078267545,0.7534996,0.23801978,0.31768385,,0.0049743955,0.99884343,1.6722032e-07,3,3
0.2955613,0.99519825,0.4311831,0.792541,0.713044,0.94724953,,1.2821985e-05,0.9999986,2.664472e-13,1,1
0.73422664,0.8869417,0.22558135,0.61622506,0.7285634,0.6972914,,0.031642333,0.99416584,5.887912e-06,1,1
0.19344723,0.98944,0.27365333,0.5186624,0.6669573,0.4998176,,0.004052981,0.99914247,9.2281276e-08,1,1
0.2876555,0.9941267,0.5541888,0.7135161,0.7277789,0.89995396,,0.0035602853,0.9994097,5.109729e-08,1,1
0.8934593,0.8229098,0.8934593,0.8229098,0.93384373,0.74187416,,1.18142125e-07,1.0,4.243826e-18,1,1
0.40205678,0.92898977,0.41025603,0.9804902,0.95313907,0.805357,,6.52389e-06,0.9999994,5.024622e-14,0,0
0.7696363,0.64895606,0.23444006,0.6390009,0.8371849,0.4773723,,0.0016710525,0.9996549,1.48863055e-08,1,1
0.9393572,0.5209038,0.9393572,0.5209038,0.5558579,0.8274845,,3.5671314e-07,1.0,6.0491004e-17,1,1
0.37937766,0.8771936,0.17164364,0.5920491,0.28255332,0.89251065,,0.033011496,0.9939386,6.44179e-06,1,1
0.65402555,0.702234,0.65402555,0.702234,0.9578106,0.50951827,,9.609616e-07,0.99999994,4.2034126e-16,0,0
0.3421921,0.5966079,0.5232826,0.9809542,0.74576455,0.4719334,,0.0003530866,0.9999442,3.9261197e-10,0,0
0.27515477,0.28343228,0.48697245,0.9623483,0.4332798,0.5505596,,0.12427578,0.9467628,0.00035428483,0,0
0.23853692,0.97980094,0.55941004,0.9809735,0.9732603,0.72139466,,1.55098e-05,0.9999982,4.0467174e-13,2,2
0.40630728,0.7920624,0.40630728,0.7920624,0.16185692,0.98090947,,7.370957e-07,1.0,1.9446602e-16,0,0
0.59823686,0.78864294,0.59823686,0.78864294,0.37842387,0.88673717,,2.0390196e-09,1.0,2.940447e-21,3,3
0.3253456,0.46182865,0.13355902,0.7979548,0.4012519,0.57021916,,0.00026119102,0.9999574,2.2765509e-10,3,3
0.53129315,0.7865728,0.53129315,0.7865728,0.9445584,0.758054,,1.1505991e-07,1.0,8.658342e-18,0,0
0.37842345,0.30267018,0.3406164,0.089457676,0.49658483,0.54298186,,0.7485348,0.1806125,0.3729956,0,1
0.4358458,0.94907534,0.62764454,0.9806849,0.91176605,0.674977,,0.0018757933,0.99970967,1.1605237e-08,0,0
0.29297334,0.9883001,0.43104565,0.74692845,0.4852423,0.9649762,,0.009279635,0.99768627,6.6948405e-07,1,1
0.75682753,0.9794668,0.31635833,0.93413675,0.5526936,0.9783297,,2.8357993e-06,0.9999997,9.943483e-15,2,2
0.52790034,0.9315562,0.6634563,0.8538393,0.8987412,0.626363,,0.0051573506,0.9988456,1.6690882e-07,2,2
0.7820374,0.97928035,0.66911715,0.95697236,0.5123807,0.980867,,5.9403854e-05,0.9999937,6.412916e-12,2,2
0.45383206,0.9809601,0.57362425,0.98097146,0.9094503,0.3243124,,2.000054e-05,0.9999981,6.000127e-13,0,0
0.9279306,0.8983442,0.9279306,0.8983442,0.73154706,0.9809856,,8.8060786e-10,1.0,3.9777038e-22,2,2
0.36855274,0.96752274,0.43750378,0.9802599,0.36853668,0.9714749,,0.006687467,0.99890494,1.8234108e-07,0,0
0.07472814,0.99399465,0.3906126,0.57712793,0.82389736,0.2097123,,0.054723714,0.9808307,4.5934543e-05,1,1
0.0860537,0.93268543,0.06205861,0.7060921,0.119949095,0.89899397,,0.012601182,0.99664056,0.4983217,1,3
0.1079326,0.994257,0.2678438,0.87636465,0.8511007,0.5462178,,0.011604822,0.997358,8.857804e-07,1,1
0.2931671,0.74359477,0.19794372,0.90054286,0.1695799,0.71755105,,3.2954686e-05,0.99999636,1.796461e-12,3,3
0.13219786,0.99021864,0.4231959,0.56969404,0.61586964,0.73157465,,0.015609868,0.9962068,1.8269064e-06,1,1
0.5772593,0.7759168,0.5772593,0.7759168,0.95343685,0.89760923,,8.973302e-09,1.0,3.467748e-20,0,0
0.42983392,0.9795188,0.487362,0.9809711,0.9650732,0.65365297,,2.3417177e-05,0.9999976,8.64357e-13,0,0
0.10911614,0.44776857,0.2224277,0.042677566,0.5196254,0.7163392,,0.75282717,0.026657075,0.13178653,3,1
0.57878083,0.9773236,0.5518028,0.98097247,0.95896745,0.4357188,,1.4987395e-06,0.99999994,9.303723e-16,0,0
0.37775415,0.8731681,0.69816166,0.95350575,0.61294556,0.20155658,,0.118052185,0.9495056,0.48768145,0,2
0.82044214,0.9948607,0.42207128,0.89599514,0.90611374,0.88061166,,2.548046e-06,0.9999998,6.1700353e-15,1,1
0.6739995,0.6627258,0.6739995,0.6627258,0.5847313,0.8051815,,1.9057471e-09,1.0,1.4495291e-21,3,3
0.31564796,0.9948119,0.3161807,0.82959676,0.69383,0.70302624,,1.734159e-05,0.9999984,4.354643e-13,1,1
0.56816745,0.88325965,0.32850522,0.9391303,0.6510031,0.6248869,,0.00035454778,0.9999392,4.6174287e-10,2,2
0.22545233,0.9729234,0.07736081,0.85250235,0.23668817,0.8568215,,3.827654e-06,0.9999995,2.6070793e-14,3,3
0.0860537,0.93268543,0.06205861,0.7060921,0.119949095,0.89899397,,0.012601182,0.99664056,0.4983217,1,3
0.067050576,0.33520263,0.04567626,0.68583834,0.13193645,0.7748403,,0.124536306,0.9484195,0.00033268196,3,3
0.35619116,0.9752943,0.38943803,0.9272773,0.96717715,0.42726195,,0.00047151127,0.9999248,7.177384e-10,2,2
0.15604092,0.8175979,0.39348957,0.3705507,0.54419786,0.9262299,,0.16730429,0.9209489,0.00078113674,1,1
0.026247263,0.13890652,0.033469815,0.34067687,0.13992149,0.22319116,,0.47273085,0.7575701,0.0075808614,3,3
0.6241965,0.672199,0.03241002,0.69850993,0.16135882,0.92377627,,1.928621e-06,0.9999998,5.3647395e-15,3,3
0.10980124,0.74804866,0.03673795,0.79638684,0.12119674,0.67990303,,0.0019915695,0.9996271,1.7565634e-08,3,3
0.2332553,0.6608554,0.03648429,0.729865,0.18609694,0.893291,,0.00026674836,0.99995744,2.2709971e-10,3,3
0.9322816,0.9775272,0.45416576,0.9809874,0.6762673,0.9033879,,3.2586609e-06,0.99999976,7.6485135e-15,2,2
0.24704424,0.9806855,0.41165528,0.75842154,0.4903968,0.8960612,,0.0019680213,0.999692,1.3103874e-08,1,1
0.15854344,0.9770507,0.40937716,0.9809026,0.2387149,0.8774702,,2.693314e-05,0.99999696,1.3306423e-12,0,0
0.42950875,0.9950923,0.44052374,0.819957,0.67900705,0.87984663,,2.2829793e-06,0.9999998,5.8463535e-15,1,1
0.12604523,0.9951988,0.43996,0.82854974,0.94695944,0.9194349,,1.8611618e-05,0.99999815,5.044719e-13,1,1
0.56692386,0.36704886,0.038677536,0.6172387,0.49306956,0.6305894,,1.0781509e-05,0.9999987,2.1554367e-13,3,3
0.6292723,0.7453336,0.23559766,0.8672714,0.75724614,0.6790715,,6.8178365e-06,0.99999946,4.7432524e-14,3,3
0.6616098,0.9950678,0.46834958,0.91010225,0.5871595,0.8945316,,0.0005372546,0.9999066,1.0922119e-09,1,1
0.63466305,0.66578054,0.63466305,0.66578054,0.8181593,0.7455315,,3.377193e-08,1.0,7.6780967e-19,3,3
0.69767654,0.57327044,0.69767654,0.57327044,0.32412702,0.89987373,,1.6125499e-07,1.0,1.3836747e-17,3,3
0.74797523,0.8716153,0.3766727,0.9808296,0.29693314,0.8103291,,0.00014484662,0.99998283,4.2265306e-11,0,0
0.6527346,0.8225741,0.6527346,0.8225741,0.9756654,0.8358628,,2.2719136e-11,1.0,3.6592694e-25,0,0
0.8934593,0.8229098,0.8934593,0.8229098,0.93384373,0.74187416,,1.18142125e-07,1.0,4.243826e-18,1,1
0.5394999,0.78680706,0.5394999,0.78680706,0.89843833,0.45454055,,1.2660739e-06,0.99999994,5.5427697e-16,0,0
0.09479795,0.98090607,0.54282105,0.9809639,0.79561526,0.5832905,,0.0017587434,0.99963516,0.4999084,0,2
0.30566508,0.95579904,0.4458741,0.98097205,0.3097213,0.979018,,2.5424094e-06,0.99999976,6.71116e-15,0,0
0.7878147,0.9735285,0.35072124,0.9794041,0.74235606,0.553892,,1.2029066e-05,0.9999984,3.288636e-13,2,2
0.12074031,0.966561,0.07429394,0.82648593,0.12284194,0.900653,,6.8912123e-06,0.9999991,1.01890284e-13,3,3
0.10702035,0.9779825,0.6647912,0.9389184,0.71591437,0.14979576,,0.009124273,0.9976432,0.49941146,0,2
0.82230306,0.97640526,0.6373292,0.9809841,0.97645986,0.68299127,,4.498459e-06,0.9999995,3.1514393e-14,2,2
0.06871282,0.9760756,0.30367622,0.8658193,0.585363,0.13152772,,0.0042280513,0.99904543,1.1394215e-07,2,2
0.25745136,0.6891812,0.33388183,0.7757151,0.6072853,0.54078794,,0.0007901226,0.999883,1.8754707e-09,1,1
0.47690699,0.9239284,0.36519048,0.94231594,0.7913574,0.62078726,,0.00014326828,0.999977,6.615712e-11,2,2
0.61019766,0.9794066,0.71552855,0.9807538,0.6379771,0.78025746,,8.479334e-06,0.9999991,1.2198047e-13,2,2
0.39841226,0.97999823,0.48010296,0.92617923,0.6836452,0.9539314,,0.0001678856,0.9999732,9.004708e-11,2,2
0.90484214,0.915014,0.90484214,0.915014,0.69287956,0.98098797,,8.012797e-11,1.0,2.5917757e-24,2,2
0.781471,0.893991,0.781471,0.893991,0.55863804,0.9793943,,1.8571664e-07,1.0,1.9313445e-17,2,2
0.052753977,0.9793386,0.03819728,0.7037053,0.20756966,0.6236905,,0.0003058354,0.99995476,2.6366406e-10,3,3
0.6543865,0.96769667,0.30555683,0.9765031,0.65286994,0.953948,,2.6051557e-05,0.99999636,1.6397563e-12,2,2
0.95571035,0.60546255,0.95571035,0.60546255,0.79257303,0.94525707,,1.844362e-08,1.0,2.465351e-19,2,2
0.24592742,0.8245222,0.038669914,0.7457638,0.26439488,0.867275,,7.5260454e-05,0.9999905,1.1813014e-11,3,3
0.9431479,0.8219054,0.9431479,0.8219054,0.9802877,0.8762604,,3.8100464e-10,1.0,6.65814e-23,2,2
0.5194748,0.6848193,0.8451751,0.5804466,0.85068405,0.53383934,,0.07526142,0.9735273,8.775814e-05,1,1
0.810587,0.85161877,0.8169416,0.98081315,0.74794364,0.9337623,,4.036208e-05,0.9999941,4.3736126e-12,2,2
0.9323754,0.82120204,0.9323754,0.82120204,0.75226754,0.914465,,6.341622e-07,1.0,2.0300097e-16,1,1
0.5902194,0.9642291,0.30736947,0.9789528,0.65341175,0.85956144,,1.917303e-05,0.9999974,8.6312923e-13,2,2
0.94057584,0.7306178,0.94057584,0.7306178,0.7907858,0.9707022,,3.6914794e-11,1.0,5.271291e-25,2,2
0.14784008,0.9800712,0.4803246,0.9786805,0.755946,0.29377428,,0.026708651,0.9920152,7.971392e-06,0,0
