gc_del_auc,gc_ins_auc,sm_del_auc,sm_ins_auc,lm_del_auc,lm_ins_auc,sanity_corr,entropy,margin,brier,true_label,pred_label
0.10669097,0.93525314,0.61840004,0.85800195,0.1924094,0.35839427,,0.5777267,0.4759468,0.034328997,0,0
0.9105218,0.5894729,0.5935052,0.9496226,0.9825858,0.19548391,,0.15746257,0.9314327,0.4663047,1,0
0.030348854,0.98751,0.20772606,0.6614264,0.6295117,0.60708964,,0.0006196608,0.99988735,1.5873735e-09,1,1
0.27989233,0.98158,0.21890414,0.9623591,0.22194138,0.96916366,,5.727657e-06,0.9999994,4.8610536e-14,2,2
0.83551556,0.83735865,0.83551556,0.83735865,0.5924479,0.57026,,1.197422e-07,1.0,6.6758575e-18,2,2
0.03956104,0.97753155,0.108304456,0.7291492,0.42661077,0.6016458,,3.0930598e-05,0.99999696,1.4249992e-12,3,3
0.33045703,0.848732,0.224821,0.27712935,0.67128444,0.46337497,,0.6955973,0.23716724,0.19132915,3,1
0.039374124,0.8634324,0.22211452,0.8050204,0.8179373,0.44104046,,0.00041517898,0.99994063,4.802885e-10,1,1
0.08881531,0.98819596,0.22674821,0.82938015,0.91799146,0.9252354,,6.859745e-05,0.9999907,1.0900635e-11,1,1
0.28948015,0.911417,0.5098904,0.8979646,0.44417176,0.8985301,,0.004180162,0.99935246,6.383155e-08,0,0
0.10291176,0.11797777,0.11199683,0.5333197,0.6145907,0.13343365,,0.070442945,0.9758642,7.299391e-05,3,3
0.6704557,0.84201664,0.6704557,0.84201664,0.9632474,0.9334345,,1.7982678e-07,1.0,1.8303667e-17,0,0
0.7124385,0.7862807,0.12033155,0.8611891,0.40478873,0.9654895,,2.4110254e-06,0.9999997,1.5883372e-14,3,3
0.7062098,0.8119552,0.7062098,0.8119552,0.9355059,0.97582,,3.6791517e-09,1.0,8.724502e-21,0,0
0.10589549,0.98824346,0.20227955,0.7693193,0.30017227,0.75427914,,6.7637884e-06,0.9999991,9.700516e-14,1,1
0.81541777,0.77633655,0.81541777,0.77633655,0.7907244,0.9815855,,6.692987e-12,1.0,1.6484158e-26,2,2
0.4374143,0.9816974,0.5085418,0.9835688,0.9644041,0.9069287,,5.0918134e-05,0.99999446,4.5505604e-12,0,0
0.9167901,0.83977014,0.9167901,0.83977014,0.6276959,0.9815811,,1.5463565e-08,1.0,1.625601e-19,2,2
0.13629496,0.7365492,0.34334424,0.72534215,0.03259681,0.6154604,,0.22662905,0.890303,0.0015057881,1,1
0.4560629,0.874421,0.47981054,0.9300337,0.97282994,0.64119303,,0.00036014893,0.9999564,3.093383e-10,0,0
0.53068405,0.70399284,0.53068405,0.70399284,0.111731395,0.89313763,,9.898987e-07,0.99999994,6.380263e-16,2,2
0.8403256,0.6207967,0.8403256,0.6207967,0.40284616,0.97691584,,3.927139e-08,1.0,7.2013765e-19,2,2
0.16215724,0.5257617,0.10534583,0.7855371,0.20467077,0.43460026,,0.00029732997,0.9999683,1.8217126e-10,3,3
0.8046002,0.794783,0.8046002,0.794783,0.48899487,0.9814365,,4.477034e-08,1.0,1.5119645e-18,2,2
0.5719662,0.8650847,0.40912157,0.97661877,0.7751447,0.71080446,,0.00010048093,0.99998593,2.5129697e-11,2,2
0.93053496,0.8892741,0.93053496,0.8892741,0.7658504,0.9197942,,3.517641e-11,1.0,9.076694e-25,2,2
0.112467505,0.9364484,0.21268898,0.60868394,0.722425,0.23683102,,0.08961108,0.9725715,9.833906e-05,1,1
0.046790533,0.64477545,0.11231923,0.6489277,0.10455143,0.688134,,0.0718135,0.97689915,6.766292e-05,3,3
0.22648096,0.68958926,0.10332587,0.6861353,0.33365905,0.43505344,,0.00019358787,0.9999747,8.6484764e-11,3,3
0.47262543,0.9736694,0.4667479,0.84879434,0.9438995,0.9504664,,9.017841e-06,0.99999887,1.6359188e-13,0,0
0.096407935,0.98824406,0.32397425,0.86325276,0.81963575,0.9027316,,1.4013457e-06,0.9999998,5.091546e-15,1,1
0.9093222,0.690092,0.9093222,0.690092,0.74009347,0.9813595,,1.4019984e-07,1.0,8.691221e-18,2,2
0.06477029,0.86993945,0.08486964,0.72668827,0.1601466,0.24917963,,1.1181531e-05,0.999999,1.7848573e-13,3,3
0.85734063,0.874995,0.85734063,0.874995,0.64529777,0.9799257,,2.6714373e-13,1.0,4.976748e-29,2,2
0.5944485,0.9553326,0.25158295,0.9013808,0.95030814,0.9824804,,1.0530362e-06,0.99999994,7.9340835e-16,0,0
0.039213292,0.9832317,0.24689364,0.7091282,0.8347945,0.49131277,,0.038360137,0.9873689,1.9943225e-05,1,1
0.8458216,0.73507655,0.8458216,0.73507655,0.6795067,0.6575036,,5.583553e-07,1.0,1.05202974e-16,3,3
0.34597322,0.94069445,0.3335576,0.7794851,0.3105192,0.896492,,0.0006078486,0.99989504,1.3824143e-09,0,0
0.14138299,0.63430464,0.13831042,0.72996634,0.8489203,0.17424387,,0.00467513,0.99923474,8.735645e-08,3,3
0.095431045,0.98819304,0.28176397,0.81137997,0.8795985,0.69533896,,0.00019691687,0.9999674,1.3292435e-10,1,1
0.6009603,0.30005327,0.5226988,0.98154974,0.23483801,0.96593386,,8.094359e-05,0.99998754,1.932512e-11,2,2
0.8088456,0.6551166,0.8088456,0.6551166,0.74196696,0.73883754,,8.5595667e-07,0.99999994,6.557425e-16,1,1
0.59633267,0.7070947,0.59633267,0.7070947,0.8521805,0.6681138,,4.5342938e-07,1.0,5.4227532e-17,3,3
